##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Wickerhamiella_fastp_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4554908
1120	15-19	0.05868381958320157
1120	20-24	0.013047720295766396
1120	25-29	-0.02107211293913025
1120	30-34	-0.05895217888259907
1120	35-39	-0.02592020434185116
1120	40-44	0.0450264232225166
1120	45-49	-0.010791872172077888
1120	50-54	-0.04364001865143763
1120	55-59	-0.11278539842615487
1120	60-64	0.04808964910838398
1120	65-69	0.06844510199154286
1120	70-74	-0.06290759838936566
1120	75-79	-0.029263407853115098
1120	80-84	-0.11093179746823978
1120	85-89	-0.13631433990590125
1120	90-94	-0.015852077478534454
1120	95-99	-0.1221712244990627
1120	100-104	-0.11787711779500398
1120	105-109	-0.1422396667626984
1120	110-114	1.728272577139478E-5
1120	115-119	0.09213246914018214
1120	120-124	0.055277654807625254
1120	125-129	-0.1038308365029792
1120	130-134	-0.040077766589689645
1120	135-139	0.14861611336618097
1120	140-144	0.18096145186139267
1120	145-149	-0.015940436692389426
1120	150-151	0.39490051298908924
